Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-12-12,55.80281,56.80714,54.50975,55.30065,146529
2000-12-13,55.49147,58.0048,55.30065,55.99615,152022
2000-12-14,55.99615,57.31181,55.49147,56.80714,129343
2000-12-15,56.49831,57.50263,55.49147,57.31181,121586
2000-12-18,57.50263,61.31154,57.50263,59.80254,265349
2000-12-19,60.59093,61.31154,59.00912,59.80254,160333
2000-12-20,59.00912,59.60921,57.31181,58.0048,212437
2000-12-21,55.49147,58.50696,55.49147,57.50263,118895
2000-12-22,59.60921,60.3047,58.7957,60.11137,99568
2000-12-27,61.59526,64.30192,61.31154,63.79975,160338
2000-12-28,65.90632,66.40849,62.09993,63.29759,281346
2000-12-29,63.10426,63.60642,61.59526,62.29075,99660
2001-01-02,60.3047,62.60209,59.80254,61.31154,92038
2001-01-03,60.59093,61.0931,58.29354,59.00912,168887
2001-01-04,62.60209,62.79543,60.11137,60.59093,226329
2001-01-05,61.59526,61.59526,59.60921,59.60921,82562
2001-01-08,58.50696,59.30038,55.80281,56.30498,141845
2001-01-09,57.00047,57.79138,55.49147,57.50263,141608
2001-01-10,57.00047,57.31181,55.80281,55.99615,42089
2001-01-11,55.49147,55.49147,53.50542,53.79165,117334
2001-01-12,55.99615,56.80714,55.30065,55.49147,168203
2001-01-15,55.99615,56.30498,54.00758,54.50975,51989
2001-01-16,54.00758,55.30065,53.19408,54.50975,43364
2001-01-17,55.49147,58.0048,54.29382,57.50263,169103
2001-01-18,57.31181,59.80254,57.00047,58.0048,153309
2001-01-19,60.59093,61.8137,59.60921,61.0931,264606
2001-01-22,61.0931,61.0931,58.29354,58.29354,95871
2001-01-23,57.79138,59.00912,57.31181,58.0048,82570
2001-01-24,59.00912,59.60921,57.00047,57.50263,81269
2001-01-25,57.00047,58.0048,56.80714,57.50263,75571
2001-01-26,55.99615,57.50263,55.49147,57.50263,101456
2001-01-29,57.31181,58.29354,57.00047,58.0048,54264
2001-01-30,58.50696,59.60921,57.50263,58.29354,54196
2001-01-31,58.50696,58.50696,57.50263,57.79138,43528
2001-02-01,57.31181,57.31181,56.49831,56.80714,53653
2001-02-02,57.50263,57.79138,56.49831,56.49831,39644
2001-02-05,55.80281,55.99615,53.50542,53.79165,125363
2001-02-06,53.19408,54.00758,51.49426,53.00326,83890
2001-02-07,51.70768,51.70768,49.10145,49.79444,155203
2001-02-08,49.60362,51.49426,48.09462,48.50388,112316
2001-02-09,49.00604,49.00604,46.60822,46.60822,93921
2001-02-12,46.89696,47.90129,46.10605,46.70363,90458
2001-02-13,47.90129,48.50388,47.09029,48.40596,112468
2001-02-14,46.99488,47.49705,46.89696,47.49705,43898
2001-02-15,48.50388,48.68968,47.30371,48.09462,101368
2001-02-16,47.09029,47.39912,43.90407,44.40875,155268
2001-02-19,44.40875,44.91091,40.88859,40.88859,138873
2001-02-20,41.00911,41.99083,38.80712,41.39075,526909
2001-02-21,41.10201,41.10201,39.18877,40.00227,202966
2001-02-22,40.40902,41.10201,39.81145,40.00227,197105
